value,datetime,variable
138.19744541639702,2020-09-18 22:27:00,var_1
80.65843952407968,2020-09-19 04:35:00,var_1
88.64321155987992,2020-10-04 14:51:00,var_1
107.94005225509943,2020-10-03 13:31:00,var_1
90.25144905308231,2020-09-27 10:35:00,var_1
121.14630337931484,2020-09-12 11:11:00,var_1
112.8615257939287,2020-09-12 08:32:00,var_1
90.90754603044351,2020-09-12 15:10:00,var_1
94.03934143429258,2020-09-13 08:51:00,var_1
89.89337733332708,2020-09-28 12:35:00,var_1
118.75183287097315,2020-10-04 11:57:00,var_1
50.517439440641915,2020-09-28 14:39:00,var_1
109.60659279062851,2020-09-23 11:18:00,var_1
103.02683377490138,2020-09-07 14:25:00,var_1
109.44470822060283,2020-09-07 23:23:00,var_1
57.959024980674286,2020-10-03 08:53:00,var_1
89.32198822126888,2020-09-20 13:27:00,var_1
142.06923713474066,2020-09-22 08:28:00,var_2
118.76439935878756,2020-09-12 10:37:00,var_1
103.7578425251841,2020-09-05 13:48:00,var_1
81.89884372484634,2020-09-30 12:30:00,var_1
91.38273931990541,2020-09-11 08:26:00,var_1
75.60037076212707,2020-09-18 15:08:00,var_1
92.69556831983,2020-10-04 09:09:00,var_1
93.96340971706371,2020-10-03 09:39:00,var_1
125.32159056261044,2020-09-28 15:59:00,var_1
114.8758837565198,2020-09-26 09:27:00,var_1
129.81835655898328,2020-09-05 16:48:00,var_1
78.92060114831025,2020-09-05 10:30:00,var_1
113.88073290412994,2020-10-02 12:01:00,var_1
108.68439384930157,2020-09-13 09:10:00,var_1
111.56118342585935,2020-09-06 14:08:00,var_1
95.688428839848,2020-09-07 12:10:00,var_1
62.423730880826476,2020-09-06 11:05:00,var_1
89.79793562927222,2020-09-27 07:03:00,var_2
98.70530023509986,2020-09-27 08:40:00,var_1
98.4058396589502,2020-09-28 13:48:00,var_1
106.81188141241593,2020-09-11 16:46:00,var_1
63.90692214145365,2020-09-06 18:13:00,var_1
110.4814704598267,2020-09-27 09:05:00,var_1
87.56121416739248,2020-09-26 08:17:00,var_1
107.72519431080777,2020-09-26 09:37:00,var_1
114.34827291333609,2020-09-18 11:07:00,var_1
110.88220936293925,2020-09-13 04:31:00,var_1
118.77684303945423,2020-09-13 19:49:00,var_1
119.82672826484156,2020-09-22 17:05:00,var_2
85.16559731507223,2020-09-17 23:26:00,var_2
132.1824997108393,2020-09-18 05:48:00,var_2
112.80755809686855,2020-09-18 12:34:00,var_1
88.42761561410644,2020-09-18 16:52:00,var_1
102.58783804744192,2020-09-21 11:18:00,var_2
110.11219777702469,2020-09-25 10:00:00,var_1
92.6992478673901,2020-09-05 11:41:00,var_1
97.18780187205795,2020-10-01 12:03:00,var_2
90.45254747152805,2020-10-01 13:38:00,var_1
130.27278118730294,2020-09-14 11:17:00,var_2
74.16106937547906,2020-09-18 15:26:00,var_1
100.594527697036,2020-09-22 08:31:00,var_1
117.76494803420792,2020-09-22 16:04:00,var_1
61.7538263058901,2020-09-07 10:15:00,var_1
53.88710086182724,2020-09-18 08:40:00,var_1
70.03796571584479,2020-09-11 19:54:00,var_1
122.68356975403185,2020-09-08 15:17:00,var_1
67.14280582018486,2020-09-11 20:42:00,var_1
131.56020344917198,2020-09-13 08:58:00,var_1
134.32545117141484,2020-09-29 07:13:00,var_1
123.91684355269753,2020-09-11 15:00:00,var_1
99.96510195177021,2020-09-14 11:19:00,var_1
111.93851632009064,2020-10-02 09:47:00,var_1
88.85523710146177,2020-09-30 15:40:00,var_1
112.80840375351907,2020-09-15 15:23:00,var_2
124.0973464658816,2020-09-14 13:31:00,var_1
109.1945194707444,2020-09-14 10:28:00,var_1
110.67123433711224,2020-09-25 09:54:00,var_2
118.10035092922053,2020-10-03 09:06:00,var_1
101.83648572940493,2020-09-16 23:08:00,var_1
114.31640306123812,2020-09-20 22:00:00,var_1
71.00650538823005,2020-09-10 15:00:00,var_2
73.94668250514084,2020-09-10 12:41:00,var_2
85.71457398751382,2020-09-10 12:26:00,var_2
74.97434778343572,2020-09-16 17:56:00,var_1
109.92962484411021,2020-09-18 10:04:00,var_1
96.3864107722069,2020-09-19 08:12:00,var_1
84.36195163376753,2020-09-21 10:20:00,var_1
114.18097731018236,2020-09-28 08:54:00,var_1
91.24899901202072,2020-09-23 08:35:00,var_2
81.0316187851481,2020-10-01 08:23:00,var_1
117.9857619506405,2020-09-08 09:17:00,var_1
90.20726640264256,2020-09-19 12:02:00,var_1
123.180778106805,2020-09-28 14:49:00,var_1
90.63100281976077,2020-09-18 09:58:00,var_1
72.62258441656292,2020-09-29 10:56:00,var_1
92.85007129661005,2020-09-10 12:26:00,var_2
96.44099161154676,2020-09-24 12:08:00,var_1
92.6938931893118,2020-09-18 18:05:00,var_1
100.90673010761203,2020-09-19 13:03:00,var_1
89.6650245166119,2020-09-14 14:35:00,var_1
74.20720221165712,2020-09-20 22:02:00,var_1
128.98639066225047,2020-09-18 10:58:00,var_1
71.22031721358748,2020-10-01 11:23:00,var_2
104.93325813839924,2020-09-09 10:50:00,var_1
109.84744758674887,2020-09-21 13:09:00,var_2
110.4340964352572,2020-09-27 11:22:00,var_1
108.41518737202897,2020-09-14 09:11:00,var_1
89.02245451790316,2020-09-11 11:30:00,var_2
70.43227052379109,2020-09-16 11:49:00,var_1
109.97193598568977,2020-09-16 12:40:00,var_2
116.72181298007557,2020-09-19 16:17:00,var_1
69.86314737277354,2020-09-15 14:54:00,var_1
76.26118944338972,2020-09-18 21:23:00,var_1
97.16517327915692,2020-09-08 12:16:00,var_2
107.06383827980758,2020-09-29 15:39:00,var_1
72.51539483732654,2020-09-27 10:02:00,var_1
129.32437924069515,2020-10-02 11:00:00,var_1
86.0715775444657,2020-09-21 08:45:00,var_1
128.15809691607015,2020-09-08 13:35:00,var_1
57.6994992923821,2020-09-22 10:46:00,var_2
160.30893471614058,2020-09-06 08:59:00,var_1
109.06951955460993,2020-10-04 01:38:00,var_1
62.2200462851365,2020-09-08 15:49:00,var_1
116.03314655518317,2020-09-06 14:47:00,var_1
98.82894488528014,2020-09-22 15:27:00,var_2
94.91773535559187,2020-09-07 09:53:00,var_1
96.07724618690128,2020-09-29 13:34:00,var_1
95.01936736682235,2020-09-18 07:00:00,var_1
114.69673353921421,2020-09-23 15:44:00,var_1
86.61296283496971,2020-09-14 14:05:00,var_1
97.16153552751696,2020-09-28 09:57:00,var_1
75.5140483097118,2020-09-25 17:33:00,var_2
104.62222881902026,2020-10-01 11:10:00,var_1
83.48267060792935,2020-09-15 14:56:00,var_1
120.28017782859443,2020-09-15 10:41:00,var_2
91.25990256101187,2020-09-23 10:17:00,var_1
80.1830367897107,2020-09-13 21:00:00,var_1
110.9353999805773,2020-09-18 11:18:00,var_1
89.17251611500191,2020-10-01 18:39:00,var_1
77.63944350129388,2020-09-21 20:30:00,var_1
70.9423605375695,2020-09-18 12:29:00,var_2
75.66277083995384,2020-09-28 08:56:00,var_1
93.15622229597055,2020-09-17 18:46:00,var_1
83.11583044312758,2020-09-18 14:49:00,var_2
102.3359029436447,2020-09-21 10:22:00,var_1
129.6692704723425,2020-10-01 17:07:00,var_1
91.67473598773708,2020-09-29 12:08:00,var_1
95.02374856747825,2020-09-18 17:30:00,var_1
98.26369625461378,2020-09-08 11:55:00,var_1
109.1496042436311,2020-09-21 15:28:00,var_2
139.92306386582942,2020-09-23 11:42:00,var_2
58.87565153615981,2020-09-24 21:46:00,var_1
100.35906157626499,2020-09-26 20:30:00,var_2
92.45327335541435,2020-09-29 08:33:00,var_2
106.00337795518587,2020-09-12 09:13:00,var_1
67.89020728240259,2020-09-12 09:38:00,var_1
81.82691362045135,2020-09-23 12:49:00,var_2
129.67490993132185,2020-09-17 18:17:00,var_1
73.24611448613817,2020-09-21 05:57:00,var_1
112.68559204867077,2020-09-23 15:31:00,var_1
113.130657438588,2020-09-06 15:20:00,var_1
106.78530460437479,2020-10-03 10:59:00,var_1
76.48143310430133,2020-10-03 14:07:00,var_1
106.03724697912037,2020-09-12 16:17:00,var_1
95.81005806044205,2020-09-18 09:05:00,var_1
82.27890842523317,2020-09-21 17:06:00,var_2
95.72964135929605,2020-09-30 19:27:00,var_1
140.03495716540246,2020-09-25 10:55:00,var_2
80.36711314431021,2020-09-22 20:35:00,var_1
121.92211636864607,2020-09-23 09:20:00,var_1
112.51516371454359,2020-09-14 14:03:00,var_1
122.88998562029728,2020-09-15 13:21:00,var_1
86.66280914533762,2020-09-11 13:28:00,var_2
143.88412463527118,2020-09-22 14:21:00,var_1
108.55536724146098,2020-09-17 08:41:00,var_1
151.65317771823192,2020-09-07 10:23:00,var_1
98.50440348895886,2020-10-01 16:43:00,var_1
144.94788686132918,2020-09-05 11:11:00,var_1
87.91040717129246,2020-09-05 17:20:00,var_1
81.04272365225701,2020-09-09 12:17:00,var_1
114.18459084949372,2020-09-15 18:23:00,var_1
89.53240021682319,2020-09-06 09:23:00,var_1
95.25329104930904,2020-09-09 09:17:00,var_1
129.53760640174067,2020-09-13 08:54:00,var_1
115.24087917166388,2020-09-14 14:53:00,var_1
84.39880600943634,2020-09-07 09:09:00,var_1
127.78218227488372,2020-10-04 13:27:00,var_1
64.7476573197976,2020-09-22 13:38:00,var_1
119.65060692574579,2020-09-29 14:25:00,var_1
101.06970044581215,2020-09-11 16:06:00,var_1
